CdId,SMILES,Mol Weight,Formula,Source Identifier,Source,Overlap count,Overlap hits
1,C1CN(CCO1)C1=NC(NC2=CC=CC=C2)=NC(N\\N=C\\C2=CNC3=C2C=CC=C3)=N1,414.47,C22H22N8O,MLS000543798-03,NCATS,0,
2,OCCNCCNC1=CC=C(NCCNCCO)C2=C1C(=O)C1=C(C(O)=CC=C1O)C2=O,444.49,C22H28N4O6,NCGC00015693-13,NCATS,0,
3,OC1=C(Cl)C=C(NC2=C(C(=O)NC2=O)C2=C(C=CC=C2)[N+]([O-])=O)C=C1,359.72,C16H10ClN3O5,NCGC00015950-14,NCATS,2,"NCGC00015950-07,NCGC00015950-07"
4,CCSC1=CC2=C(SC3=CC=CC=C3N2CCCN2CCN(C)CC2)C=C1,399.62,C22H29N3S2,NCGC00017115-04,NCATS,1,NCGC00262537-04
5,COC1=CC(\\C=C\\C(=O)CC(=O)\\C=C\\C2=CC(OC)=C(O)C=C2)=CC=C1O,368.38,C21H20O6,NCGC00017159-23,NCATS,0,
6,COC1=C(CC=C(C)C)C2=C(OC3=C(C(O)=C(CC=C(C)C)C(O)=C3)C2=O)C=C1O,410.47,C24H26O6,NCGC00017251-06,NCATS,1,NCGC00017251-06
7,CCCCCC[C@@H]1[C@@H](OC(=O)CC(C)C)[C@H](C)OC(=O)[C@@H](NC(=O)C2=C(O)C(NC=O)=CC=C2)[C@@H](C)OC1=O,548.63,C28H40N2O9,NCGC00017338-03,NCATS,1,NCGC00017338-05
8,OC1=CC=C(\\C=C\\C2=CC(O)=CC(O)=C2)C=C1,228.25,C14H12O3,NCGC00017352-31,NCATS,3,"NCGC00017352-24,NCGC00017352-23,NCGC00017352-24"
9,NC1=CC=C(\\N=N\\C2=CC=CC=C2)C(N)=N1,213.24,C11H11N5,NCGC00018130-08,NCATS,1,CHEMBL1242
10,CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1,304.54,C21H38N,NCGC00091023-07,NCATS,2,"NCGC00091023-07,NCGC00091023-07"
11,CC[C@@H](C)[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C\\C=C(C)\\[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)\\C=C\\C=C3/CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2,875.11,C48H74O14,NCGC00094047-16,NCATS,4,"NCGC00094047-16,NCGC00094047-16,NCGC00094047-16,NCGC00094047-10"
12,CC(C)C1=CC=CC(=O)C(O)=C1,164.2,C10H12O2,NCGC00094565-03,NCATS,0,
13,OCC1O[C@@H](OC2=CC=CC3=C2C(=O)C2=C(O)C=C(C=C2[C@@H]3[C@H]2C3=CC(=CC(O)=C3C(=O)C3=C2C=CC=C3O[C@@H]2OC(CO)C(O)C(O)C2O)C(O)=O)C(O)=O)C(O)C(O)C1O,862.75,C42H38O20,NCGC00095095-04,NCATS,1,NCGC00095095-04
14,CC1=COC2=C1C(=O)C(=O)C1=C2C=CC2=C1CCCC2(C)C,294.35,C19H18O3,NCGC00095709-02,NCATS,1,NCGC00095709-06
15,CC(C)=CC[C@@H](O)C1=CC(=O)C2=C(O)C=CC(O)=C2C1=O,288.3,C16H16O5,NCGC00163489-05,NCATS,2,"CHEMBL9470,Shikonin"
16,C[C@H]1COC2=C1C(=O)C(=O)C1=C2C=CC2=C1C=CC=C2C,278.31,C18H14O3,NCGC00163651-06,NCATS,1,CHEMBL227075
17,CCCCCCCCOC(=O)C1=CC(O)=C(O)C(O)=C1,282.34,C15H22O5,NCGC00164126-01,NCATS,0,
18,OC1=CC(O)=C2C[C@@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@H](OC2=C1)C1=CC(O)=C(O)C(O)=C1,458.38,C22H18O11,NCGC00164319-07,NCATS,1,EGCG
19,C[C@@H](COc1ccc(Oc2ccccc2)cc1)Oc1ccccn1,321.38,C20H19NO3,NCGC00164462-05,NCATS,0,
20,CCN(CC)C(=O)C(=C\\C1=CC(O)=C(O)C(=C1)[N+]([O-])=O)\\C#N,305.29,C14H15N3O5,NCGC00164555-10,NCATS,3,"NCGC00164555-10,NCGC00164555-03,NCGC00164555-03"
21,CCCCCCCCCCCCCCCC[N+]1=C(C)N(CC2=CC=CC=C2)C=C1,397.67,C27H45N2,NCGC00165841-02,NCATS,1,NCGC00165841-02
22,COC(=O)[C@H](CCSC)NC(=O)C1=CC=C(NC[C@@H](N)CS)C=C1C1=CC=CC=C1,447.61,C22H29N3O3S2,NCGC00165961-04,NCATS,0,
23,CC(C)C[C@H](NC(=O)[C@@H](C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)OC(C)(C)C)CC1=CC=CC=C1)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O,672.87,C39H52N4O6,NCGC00165962-02,NCATS,0,
24,OC1=CC(O)=C(\\C=C\\C2=CC(O)=CC(O)=C2)C=C1,244.25,C14H12O4,NCGC00169713-02,NCATS,0,
25,COC(=O)[C@]1(C)CC[C@]2(C)CC[C@]3(C)C4=CC=C5C(C)=C(O)C(=O)C=C5[C@]4(C)CC[C@@]3(C)[C@@H]2C1,464.65,C30H40O4,NCGC00178090-03,NCATS,1,NCGC00178090-03
26,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@@](C)(CC[C@]3(C)CC[C@]12C)C(O)=O,450.62,C29H38O4,NCGC00178913-14,NCATS,2,"NCGC00178913-14,NCGC00178913-11"
27,OC1=CC2=C(C[C@@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@H](O2)C2=CC(O)=C(O)C=C2)C(O)=C1,442.38,C22H18O10,NCGC00179135-02,NCATS,0,
28,OC1=CC(=CC(O)=C1O)C(=O)OC[C@H]1O[C@@H](OC(=O)C2=CC(O)=C(O)C(O)=C2)[C@H](OC(=O)C2=CC(O)=C(O)C(O)=C2)[C@@H](OC(=O)C2=CC(O)=C(O)C(O)=C2)[C@@H]1OC(=O)C1=CC(O)=C(O)C(O)=C1,940.68,C41H32O26,NCGC00180839-02,NCATS,0,
29,CN(C)c1ccc2[n+](C)c(\\C=C/c3cc(C)n(c3C)-c3ccccc3)ccc2c1.Oc1c(cc2ccccc2c1Cc1c(O)c(cc2ccccc12)C([O-])=O)C([O-])=O,768.89,C49H42N3O6,NCGC00180911-03,NCATS,1,NCGC00180911-03
30,CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C(O)=C(NC(=O)CNC(C)(C)C)C=C4N(C)C)C(=O)C3=C(O)[C@@]2(O)C(=O)C(C(N)=O)=C1O,585.66,C29H39N5O8,NCGC00183095-07,NCATS,0,
31,CN(C)CCCNC(=O)C1=CC=C(C=C1)C1=CC2=CC=CN=C2C(O)=C1,349.43,C21H23N3O2,NCGC00183808-18,NCATS,0,
32,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)N1C3=CC=CC=C3C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C13)N(C)C(=O)C1=CC=CC=C1,570.65,C35H30N4O4,NCGC00241102-05,NCATS,1,CHEMBL608533
33,COC1=CC=C2NC3=C(C=CC(Cl)=C3)C(N=C3C=C(CN4CCCC4)C(=O)C(CN4CCCC4)=C3)=C2N1,518.06,C29H32ClN5O2,NCGC00246187-06,NCATS,2,"NCGC00246187-06,NCGC00246187-02"
34,OC1=CC=C(C=C1)C1=CC(=O)C2=C(O1)C(=C(O)C=C2O)C1=C(O)C=CC(=C1)C1=CC(=O)C2=C(O1)C=C(O)C=C2O,538.46,C30H18O10,NCGC00247542-02,NCATS,0,
35,CC(=O)O\\N=C1/C(=O)N(CC2=CC(Cl)=CC=C2Cl)C2=CC=C(Cl)C=C12,397.64,C17H11Cl3N2O3,NCGC00247668-03,NCATS,0,
36,CC(C)(C)OC(=O)NC1=CC=C(C=C1)C1=CC(=NO1)C(=O)NCCCCCCC(=O)NO,446.5,C22H30N4O6,NCGC00250390-07,NCATS,1,NCGC00250390-10
37,CC1=C(CCNCC2=CC=C(\\C=C\\C(=O)NO)C=C2)C2=CC=CC=C2N1,349.43,C21H23N3O2,NCGC00263117-14,NCATS,0,
38,CN1CCN(CC2=CC=C(NC(=O)C3=CC(C#CC4=CN=C5C=CC=NN45)=C(C)C=C3)C=C2C(F)(F)F)CC1,532.57,C29H27F3N6O,NCGC00263152-05,NCATS,3,"NCGC00263152-05,NCGC00263152-15,NCGC00263152-15"
39,CC(C)[C@H](C(=O)NC1=CC=C(C=C1)C(=O)NO)C1=CC=CC=C1,312.37,C18H20N2O3,NCGC00263153-10,NCATS,2,"NCGC00263153-10,NCGC00263153-07"
40,COC1=CC2=C(CN(CCC3=CC=C(NC(=O)C4=CC=CC5=C4NC4=C(OC)C=CC=C4C5=O)C=C3)CC2)C=C1OC,563.65,C34H33N3O5,NCGC00263219-03,NCATS,1,NCGC00263219-01
41,OC(C1CCN(CC1)C(=O)OC1=CC=C(C=C1)[N+]([O-])=O)(C1=CC2=C(OCO2)C=C1)C1=CC=C2OCOC2=C1,520.49,C27H24N2O9,NCGC00263237-09,NCATS,2,"NCGC00263237-01,NCGC00263237-01"
42,CCCCCCCCCCCCCCCC1=C(C(O)=O)C(O)=CC=C1,348.53,C22H36O3,NCGC00263625-09,NCATS,1,NCGC00263625-09
43,COC1=CC=C(CN2C=CC3=C2C=C(C=C3)C(=O)NO)C=C1,296.33,C17H16N2O3,NCGC00345492-06,NCATS,1,NCGC00345492-02
44,CN1C=C(\\C=C\\C(=O)C2=CC=CC(F)=C2)C=C1\\C=C\\C(=O)NO,314.32,C17H15FN2O3,NCGC00346534-07,NCATS,2,"NCGC00346534-01,NCGC00346534-01"
45,CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)C1=NC=CN=C1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,679.86,C36H53N7O6,NCGC00346545-08,NCATS,5,"NCGC00346545-03,NCGC00346545-01,NCGC00346545-01,Telaprevir,Telaprevir"
46,COC1=CC2=C(C=C1CC1=C(F)C(Cl)=CC=C1)C(=O)C(=CN2[C@H](CO)C(C)C)C(O)=O,447.89,C23H23ClFNO5,NCGC00346565-08,NCATS,2,"NCGC00346565-04,NCGC00346565-01"
47,C[C@@H]1CCO[C@H]2CN3C=C(C(=O)NCC4=C(F)C=C(F)C=C4)C(=O)C(O)=C3C(=O)N12,419.38,C20H19F2N3O5,NCGC00346629-09,NCATS,4,"NCGC00346629-09,NCGC00346629-01,CHEMBL1229211,Dolutegravir"
48,NC1=CC=C(C=N1)C(=O)NC1=CC=CC(=C1)C1=NC(N2CCOCC2)=C2OC3=NC=CC=C3C2=N1,467.49,C25H21N7O3,NCGC00346683-02,NCATS,5,"NCGC00346683-02,NCGC00346683-02,NCGC00346683-01,CHEMBL2178735,CHEMBL2178735"
49,COC1=CC=C(C=N1)C1=NC2=C(SC(CN(C)C3=NC=C(C=N3)C(=O)NO)=C2)C(=N1)N1CCOCC1,508.56,C23H24N8O4S,NCGC00346692-04,NCATS,1,NCGC00346692-01
50,CCN1C[C@H](C)N2C(=C(O)C3=C2C(=NN(CC2=CC=C(F)C(Cl)=C2)C3=O)C(=O)NC)C1=O,461.88,C21H21ClFN5O4,NCGC00346694-03,NCATS,3,"NCGC00346694-02,NCGC00346694-04,NCGC00346694-01"
51,COC(=O)CCC1=C(C)C2=CC3=NC(=CC4=C(C)C(C=C)=C(N4)C=C4N=C(C=C1N2)C(CCC(O)=O)=C4C)C1=CC=C([C@@H](C(=O)OC)[C@@]31C)C(=O)OC,718.81,C41H42N4O8,NCGC00346712-02,NCATS,1,NCGC00346712-07
52,OC(=O)C(\\S)=C\\C1=CNC2=C1C=C(F)C=C2,237.25,C11H8FNO2S,NCGC00346833-03,NCATS,0,
53,CC(=O)O\\N=C1\\C(\\NC2=CC=CC=C\\12)=C1/C(=O)NC2=C1C=CC(Br)=C2,398.22,C18H12BrN3O3,NCGC00346883-02,NCATS,3,"NCGC00346883-02,NCGC00346883-02,NCGC00346883-01"
54,COC1=C2N=C(N=C(NCC3=CC=CC=C3)C2=CC=C1)N1C(N)=NC2=C1C=CC=C2,396.45,C23H20N6O,NCGC00347064-06,NCATS,3,"NCGC00347064-06,NCGC00347064-01,CHEMBL3746912"
55,CC(C)(C)C1=CC(=NO1)C(=O)C(=N\\NC1=CC=CC(Cl)=C1)\\C#N,330.77,C16H15ClN4O2,NCGC00350413-05,NCATS,1,CHEMBL3260990
56,C\\C(=N/NC(=O)C(NC(=O)C1=CC=CC=C1)C1=NNC(=O)C2=CC=CC=C12)C1=CC=CC(Br)=C1,518.37,C25H20BrN5O3,NCGC00370887-06,NCATS,0,
57,CN(C)C(=O)NC1=CC=CC(=C1)C1=CC=C(C=C1)N(C)C,283.38,C17H21N3O,NCGC00371133-07,NCATS,0,
58,COC1=C(C=C(C=C1C1=CC2=CC=C(N[S+](C)([O-])=O)C=C2C=C1)N1C=CC(=O)NC1=O)C(C)(C)C,493.58,C26H27N3O5S,NCGC00378604-04,NCATS,1,NCGC00378604-01
59,COC1=C(C)C2=C(C=C1)C(O[C@@H]1C[C@@H]3C(C1)C(=O)N(C)CCCC\\C=C/[C@@H]1C[C@]1(NC3=O)C(=O)N[S+]([O-])(=O)C1CC1)=CC(=N2)C1=NC(=CS1)C(C)C,749.94,C38H47N5O7S2,NCGC00378657-01,NCATS,3,"NCGC00378657-01,NCGC00378657-01,NCGC00378657-01"
60,COC(=O)N[C@@H](C(C)C)C(=O)N1CC2(CC2)C[C@H]1C1=NC=C(N1)C1=CC2=C(C=C1)C1=C(C=C(C=C1)C1=CC=C3N=C(NC3=C1)[C@@H]1[C@H]3CC[C@H](C3)N1C(=O)[C@@H](NC(=O)OC)C(C)C)C2(F)F,889.02,C49H54F2N8O6,NCGC00378990-05,NCATS,1,NCGC00378990-02
61,CC1=CC=C(CCCO)C(NCC2=CC=C3N=C(NCCCN4CCOCC4)N(CC4=NC(C)=CC=C4O)C3=C2)=C1,558.73,C32H42N6O3,NCGC00379057-02,NCATS,0,
62,ClC1=C2C(=O)CC(=O)C2=C(Cl)C(Cl)=C1Cl,283.91,C9H2Cl4O2,NCGC00386265-04,NCATS,0,
63,OC1=C(O)C=C(\\C=N\\NC(=O)C2=C(O)C=C3C=CC=CC3=C2)C=C1,322.32,C18H14N2O4,NCGC00386289-08,NCATS,1,NCGC00386289-03
64,O=C(NC1=NC2=CC=C(C=C2N1)C(=O)C1=CC=CC=C1)C1=CSC(=N1)C1CCN(CC1)C1=C2SC=CC2=NC=N1,565.67,C29H23N7O2S2,NCGC00386335-01,NCATS,0,
65,C[C@H]1CO[C@@H]2CN3C=C(C(=O)NCC4=C(F)C=C(F)C=C4)C(=O)C(O)=C3C(=O)N12,405.36,C19H17F2N3O5,NCGC00386434-02,NCATS,1,NCGC00386434-02
66,CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CC(C)(C)C(O)=O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]12)C(O)=O,584.84,C36H56O6,NCGC00390568-02,NCATS,0,
67,CC1=COC2=C1C[C@H]1C(=C)CCC[C@]1(C)C2,216.32,C15H20O,NCGC00482591-01,NCATS,0,
68,COC1=CC(O)=C(C=C1\\C=C\\C(=O)C1=CC=C(O)C=C1)C(C)(C)C=C,338.4,C21H22O4,NCGC00482709-01,NCATS,0,
69,[O-][N+](=O)C1=CC=C(C(=C1)[N+]([O-])=O)[S+]([O-])(=O)N1CCN(CC1)C1=CC=NC2=CC(Cl)=CC=C12,477.88,C19H16ClN5O6S,NCGC00482878-01,NCATS,0,
70,COC1=CC2=C(C=C1)C1=C(C3CCCCC3)C3=C(C=C(C=C3)C(=O)N[S+]([O-])(=O)N(C)C)N1C[C@]1(C[C@@H]21)C(=O)N1[C@H]2CC[C@@H]1CN(C)C2,659.85,C36H45N5O5S,NCGC00483024-01,NCATS,1,NCGC00483024-01
71,CN[C@H](CC(C)C)C(=O)N[C@@H]1[C@H](O)C2=CC=C(OC3=C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@H]4C[C@](C)(NCC5=CC=C(C=C5)C5=CC=C(Cl)C=C5)[C@@H](O)[C@H](C)O4)C4=CC(=C3)[C@@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N[C@@H]1C3=CC(=C(O)C=C3)C3=C(C=C(O)C=C3O)[C@H](NC(=O)[C@@H](NC1=O)[C@H](O[C@H]1C[C@](C)(N)[C@@H](O)[C@H](C)O1)C1=CC=C(O4)C(Cl)=C1)C(O)=O)C(Cl)=C2,"1,793.12",C86H97Cl3N10O26,NCGC00485478-02,NCATS,1,NCGC00485478-01
72,CC1=CC=C(C=C1)C1=CC2=C(CCCC(=C2)C(=O)NC2=CC=C(C[N+](C)(C)C3CCOCC3)C=C2)C=C1,495.69,C33H39N2O2,NCGC00487399-01,NCATS,0,
73,COC1=CC=C(C=C1)C1C(C#N)=C(N)OC2=C1C(=O)CC(C2)C1=C2C=CC=CC2=CC=C1,422.48,C27H22N2O3,NCGC00508898-01,NCATS,0,
74,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C(=O)NC1=CC=C(C=C1)[C@@H]1CC[C@H](N1C1=CC=C(C=C1)C(C)(C)C)C1=CC=C(NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)OC)C(C)C)C=C1,894.13,C50H67N7O8,NCGC00510316-01,NCATS,1,NCGC00510316-02
75,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC2=C(C=C1)N1[C@@H](OC3=CC(=CC=C3C1=C2)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C)C1=CC=CC=C1,882.03,C49H55N9O7,NCGC00510317-02,NCATS,2,"NCGC00510317-02,Elbasvir"
76,ONC(=O)CCCCCCC(=O)N\\N=C\\C1=CC=C(C=C1)N(C1=CC=CC=C1)C1=CC=CC=C1,458.56,C27H30N4O3,NCGC00510505-01,NCATS,2,"NCGC00510505-01,NCGC00510505-01"
77,COC1=CC=C2SC(NC(C3=CC=C(OC(F)F)C=C3)C3=CC=C4C=CC=NC4=C3O)=NC2=C1,479.5,C25H19F2N3O3S,NCGC00510794-01,NCATS,1,NCGC00510794-01
78,CCN(CC)CCNC1=C2C(=O)C3=CC=CC=C3SC2=C(C)C=C1,340.49,C20H24N2OS,NCGC00510921-01,NCATS,1,NCGC00510921-01
79,COC[C@H]1C[C@H](N(C1)C(=O)[C@H](NC(=O)OC)C1=CC=CC=C1)C1=NC=C(N1)C1=CC=C2C(COC3=CC4=C(C=CC5=C4NC(=N5)[C@@H]4CC[C@H](C)N4C(=O)[C@@H](NC(=O)OC)C(C)C)C=C23)=C1,883.02,C49H54N8O8,NCGC00522503-02,NCATS,3,"NCGC00522503-01,NCGC00522503-02,Velpatasvir"
80,COC1=CC=C(C=C1[S+]([O-])(=O)NC1=CC=C(O)C=C1)C1=C(C)N=C(NC(=O)C(C)(C)C)S1,475.58,C22H25N3O5S2,NCGC00522552-01,NCATS,0,
81,OC1=C2N(C[C@H]3O[C@@H]4CC[C@@H](C4)N3C2=O)C=C(C(=O)NCC2=C(F)C=C(F)C=C2F)C1=O,449.39,C21H18F3N3O5,NCGC00601813-01,NCATS,0,
82,O=C(CC1=CC=CC=C1)NC1=NN=C(NC2CCN(CC2)C2=NN=C(NC(=O)CC3=CC=CC=C3)S2)S1,534.66,C25H26N8O2S2,NCGC00601824-01,NCATS,0,
83,CCCCOCCOC1=CC=C(C=C1)C1=CC=C2N(CC(C)C)CCCC(=CC2=C1)C(=O)NC1=CC=C(C=C1)[S@@+]([O-])CC1=CN=CN1CCC,696.95,C41H52N4O4S,NCGC00685392-02,NCATS,0,
84,OC(=O)C1=CC(=CC=C1Cl)C1=CC=C(O1)\\C=C1/SC(=S)N(CC2=CC=CC=C2)C1=O,455.93,C22H14ClNO4S2,NCGC00686697-01,NCATS,0,
85,OC(=O)C(O)=O.OC(=O)C([O-])=O.OC(=O)C([O-])=O.CN(C)c1ccc(cc1)C(=C1C=CC(C=C1)=[N+](C)C)c1ccccc1.CN(C)c1ccc(cc1)C(=C1C=CC(C=C1)=[N+](C)C)c1ccccc1,927.02,C52H54N4O12,NCGC00013058-02,NCATS,1,NCGC00013058-02
86,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O,650.98,C15H12I3NO4,NCGC00013556-15,NCATS,1,Liothyronine
87,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,424.09,C17H12Br2O3,NCGC00013895-08,NCATS,2,"NCGC00013895-08,NCGC00013895-08"
88,ClC1=CC2=C(SC3=C(C=CC=C3)N2CCCN2CCC3(CC2)NC(=O)CS3)C=C1,446.02,C22H24ClN3OS2,NCGC00014648-04,NCATS,0,
89,Cl.Cl.OCCNCCNc1ccc(NCCNCCO)c2C(=O)c3c(O)ccc(O)c3C(=O)c12,517.4,C22H30Cl2N4O6,NCGC00015693-09,NCATS,0,
90,CC(CC1=CC(O)=C(O)C=C1)C(C)CC1=CC(O)=C(O)C=C1,302.37,C18H22O4,NCGC00015741-13,NCATS,0,
91,COC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OCCN(C)Cc1ccccc1,479.53,C26H29N3O6,NCGC00015747-09,NCATS,2,"NCGC00015747-09,Nicardipine"
92,O.O.OC1=C(Oc2cc(O)cc(O)c2C1=O)c1ccc(O)c(O)c1,338.27,C15H14O9,NCGC00015870-27,NCATS,2,"NCGC00015870-27,NCGC00015870-27"
93,Cl.Oc1ccc(cc1)-c1sc2cc(O)ccc2c1C(=O)c1ccc(OCCN2CCCCC2)cc1,510.05,C28H28ClNO4S,NCGC00015889-11,NCATS,3,"NCGC00015889-11,CHEMBL1116,CHEMBL1116"
94,C[n+]1cc2c3OCOc3ccc2c2ccc3cc4OCOc4cc3c12,332.33,C20H14NO4,NCGC00015959-09,NCATS,0,
95,CSc1ccc2Sc3ccccc3N(CCC3CCCCN3C)c2c1,370.57,C21H26N2S2,NCGC00016059-13,NCATS,3,"NCGC00016059-13,CHEMBL479,CHEMBL479"
96,Nc1ccc(O)c(c1)C(O)=O,153.14,C7H7NO3,NCGC00016344-07,NCATS,2,"NCGC00016344-07,NCGC00016344-07"
97,CCOC1=CC2=C(NC(C)(C)C=C2C)C=C1,217.31,C14H19NO,NCGC00016348-15,NCATS,0,
98,Oc1c(I)cc(Cl)c2cccnc12,305.5,C9H5ClINO,NCGC00016391-13,NCATS,3,"NCGC00016391-13,NCGC00016391-13,NCGC00016391-13"
99,[Br-].CCCCCCCCCCCCCCCC[N+](C)(C)CCN(Cc1ccc(OC)cc1)c1ncccn1,591.72,C32H55BrN4O,NCGC00016507-05,NCATS,1,NCGC00016507-05
100,C[C@H](N)[C@H](O)c1ccc(O)c(O)c1,183.21,C9H13NO3,NCGC00016542-06,NCATS,1,NCGC00016542-06
101,CC(C)\\N=C1/C=C2N(C3=CC=C(Cl)C=C3)C3=C(C=CC=C3)N=C2C=C1NC1=CC=C(Cl)C=C1,473.4,C27H22Cl2N4,NCGC00016600-08,NCATS,2,"CHEMBL1292,Clofazimine"
102,COC(=O)Nc1nc2ccc(Sc3ccccc3)cc2n1,298.34,C15H12N3O2S,NCGC00016855-10,NCATS,2,"NCGC00016855-10,NCGC00016855-10"
103,NCCO.CC1=CC(=O)N(O)C(=C1)C1CCCCC1,268.36,C14H24N2O3,NCGC00017112-10,NCATS,1,NCGC00017112-10
