CdId,SMILES,Mol Weight,Formula,Source Identifier,Source,Overlap count,Overlap hits,GroupID
3326,OC1=C(Cl)C=C(NC2=C(C(=O)NC2=O)C2=C(C=CC=C2)[N+]([O-])=O)C=C1,359.72,C16H10ClN3O5,NCGC00015950-07,NCATS,2,"NCGC00015950-14,NCGC00015950-07",1
9056,OC1=C(Cl)C=C(NC2=C(C(=O)NC2=O)C2=C(C=CC=C2)[N+]([O-])=O)C=C1,359.72,C16H10ClN3O5,NCGC00015950-07,NCATS,2,"NCGC00015950-14,NCGC00015950-07",1
3,OC1=C(Cl)C=C(NC2=C(C(=O)NC2=O)C2=C(C=CC=C2)[N+]([O-])=O)C=C1,359.72,C16H10ClN3O5,NCGC00015950-14,NCATS,2,"NCGC00015950-07,NCGC00015950-07",1
4,CCSC1=CC2=C(SC3=CC=CC=C3N2CCCN2CCN(C)CC2)C=C1,399.62,C22H29N3S2,NCGC00017115-04,NCATS,1,NCGC00262537-04,2
223,CCSC1=CC2=C(SC3=CC=CC=C3N2CCCN2CCN(C)CC2)C=C1,399.62,C22H29N3S2,NCGC00262537-04,NCATS,1,NCGC00017115-04,2
6,COC1=C(CC=C(C)C)C2=C(OC3=C(C(O)=C(CC=C(C)C)C(O)=C3)C2=O)C=C1O,410.47,C24H26O6,NCGC00017251-06,NCATS,1,NCGC00017251-06,3
2701,COC1=C(CC=C(C)C)C2=C(OC3=C(C(O)=C(CC=C(C)C)C(O)=C3)C2=O)C=C1O,410.47,C24H26O6,NCGC00017251-06,NCATS,1,NCGC00017251-06,3
7,CCCCCC[C@@H]1[C@@H](OC(=O)CC(C)C)[C@H](C)OC(=O)[C@@H](NC(=O)C2=C(O)C(NC=O)=CC=C2)[C@@H](C)OC1=O,548.63,C28H40N2O9,NCGC00017338-03,NCATS,1,NCGC00017338-05,4
9385,CCCCCC[C@@H]1[C@@H](OC(=O)CC(C)C)[C@H](C)OC(=O)[C@@H](NC(=O)C2=C(O)C(NC=O)=CC=C2)[C@@H](C)OC1=O,548.63,C28H40N2O9,NCGC00017338-05,NCATS,1,NCGC00017338-03,4
9386,OC1=CC=C(\\C=C\\C2=CC(O)=CC(O)=C2)C=C1,228.25,C14H12O3,NCGC00017352-23,NCATS,3,"NCGC00017352-31,NCGC00017352-24,NCGC00017352-24",5
3595,Oc1ccc(\\C=C\\c2cc(O)cc(O)c2)cc1,228.25,C14H12O3,NCGC00017352-24,NCATS,3,"NCGC00017352-31,NCGC00017352-23,NCGC00017352-24",5
9387,Oc1ccc(\\C=C\\c2cc(O)cc(O)c2)cc1,228.25,C14H12O3,NCGC00017352-24,NCATS,3,"NCGC00017352-31,NCGC00017352-24,NCGC00017352-23",5
